CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
RI,22/2/2020,,,,,
AN,23/2/2020,,,,,
AR,23/2/2020,,,,,
AS,23/2/2020,,,,,
IB,23/2/2020,1,,,,
CN,23/2/2020,1,,,,
CB,23/2/2020,,,,,
CM,23/2/2020,,,,,
CL,23/2/2020,0,,,,
CT,23/2/2020,,,,,
CE,23/2/2020,,,,,
VC,23/2/2020,,38,2,,
EX,23/2/2020,,,,,
GA,23/2/2020,,,,,
MD,23/2/2020,,,,,
ML,23/2/2020,,,,,
MC,23/2/2020,,,,,
NC,23/2/2020,,,,,
PV,23/2/2020,,,,,
RI,23/2/2020,,,,,
AN,24/2/2020,,,,,
AR,24/2/2020,,,,,
AS,24/2/2020,,,,,
IB,24/2/2020,1,,,,
CN,24/2/2020,2,,,,
CB,24/2/2020,,,,,
CM,24/2/2020,,,,,
CL,24/2/2020,0,,,,
CT,24/2/2020,,,,,
CE,24/2/2020,,,,,
VC,24/2/2020,,49,2,,
EX,24/2/2020,,,,,
GA,24/2/2020,,,,,
MD,24/2/2020,,,,,
ML,24/2/2020,,,,,
MC,24/2/2020,,,,,
NC,24/2/2020,,,,,
PV,24/2/2020,,,,,
RI,24/2/2020,,,,,
AN,25/2/2020,,,,,
AR,25/2/2020,,,,,
AS,25/2/2020,,,,,
IB,25/2/2020,1,,,,
CN,25/2/2020,5,,,,
CB,25/2/2020,,,,,
CM,25/2/2020,,,,,
CL,25/2/2020,0,,,,
CT,25/2/2020,1,,,,
CE,25/2/2020,,,,,
VC,25/2/2020,1,58,2,,
EX,25/2/2020,,,,,
GA,25/2/2020,,,,,
MD,25/2/2020,2,,,,
ML,25/2/2020,,,,,
MC,25/2/2020,,,,,
NC,25/2/2020,,,,,
PV,25/2/2020,,,,,
RI,25/2/2020,,,,,
AN,26/2/2020,1,,,,
AR,26/2/2020,,,,,
AS,26/2/2020,,,,,
IB,26/2/2020,1,,,,
CN,26/2/2020,6,,,,
CB,26/2/2020,,,,,
CM,26/2/2020,,,,,
CL,26/2/2020,0,,,,
CT,26/2/2020,2,,,,
CE,26/2/2020,,,,,
VC,26/2/2020,2,63,3,,
EX,26/2/2020,,,,,
GA,26/2/2020,,,,,
MD,26/2/2020,4,,,,
ML,26/2/2020,,,,,
MC,26/2/2020,,,,,
NC,26/2/2020,,,,,
PV,26/2/2020,,,,,
RI,26/2/2020,,,,,
AN,27/2/2020,6,,,,
AR,27/2/2020,,,,,
AS,27/2/2020,,,,,
IB,27/2/2020,1,,,,
CN,27/2/2020,6,,,,
CB,27/2/2020,,,,,
CM,27/2/2020,,,,,
CL,27/2/2020,0,,,,
CT,27/2/2020,3,,,,
CE,27/2/2020,,,,,
VC,27/2/2020,8,73,3,,
EX,27/2/2020,,,,,
GA,27/2/2020,,,,,
MD,27/2/2020,5,,,,
ML,27/2/2020,,,,,
MC,27/2/2020,,,,,
NC,27/2/2020,,,,,
PV,27/2/2020,,,,,
RI,27/2/2020,,,,,
AN,28/2/2020,8,,,,
AR,28/2/2020,,,,,
AS,28/2/2020,,,,,
IB,28/2/2020,2,,,,
CN,28/2/2020,6,,,,
CB,28/2/2020,,,,,
CM,28/2/2020,,,,,
CL,28/2/2020,2,,,,
CT,28/2/2020,5,,,,
CE,28/2/2020,,,,,
VC,28/2/2020,10,78,3,,
EX,28/2/2020,,,,,
GA,28/2/2020,,,,,
MD,28/2/2020,8,,,,
ML,28/2/2020,,,,,
MC,28/2/2020,,,,,
NC,28/2/2020,,,,,
PV,28/2/2020,2,,,,
RI,28/2/2020,,,,,
AN,29/2/2020,12,,,,
AR,29/2/2020,,,,,
AS,29/2/2020,1,,,,
IB,29/2/2020,2,,,,
CN,29/2/2020,7,,,,
CB,29/2/2020,1,,,,
CM,29/2/2020,1,,,,
CL,29/2/2020,2,,,,
CT,29/2/2020,6,,,,
CE,29/2/2020,,,,,
VC,29/2/2020,15,85,3,,
EX,29/2/2020,4,,,,
GA,29/2/2020,,,,,
MD,29/2/2020,10,,,,
ML,29/2/2020,,,,,
MC,29/2/2020,,,,,
NC,29/2/2020,1,,,,
PV,29/2/2020,3,,,,
RI,29/2/2020,,,,,
AN,1/3/2020,12,,,,
AR,1/3/2020,,,,,
AS,1/3/2020,1,,,,
IB,1/3/2020,2,,,,
CN,1/3/2020,7,,,,
CB,1/3/2020,10,,,,
CM,1/3/2020,3,,,,
CL,1/3/2020,2,,,,
CT,1/3/2020,15,,,,
CE,1/3/2020,,,,,
VC,1/3/2020,15,88,3,,
EX,1/3/2020,6,,,,
GA,1/3/2020,,,,,
MD,1/3/2020,29,,,,
ML,1/3/2020,,,,,
MC,1/3/2020,,,,,
NC,1/3/2020,1,,,,
PV,1/3/2020,9,,,,
RI,1/3/2020,1,,,,
AN,2/3/2020,12,,,,
AR,2/3/2020,0,,,,
AS,2/3/2020,1,,,,
IB,2/3/2020,2,,,,
CN,2/3/2020,7,,,,
CB,2/3/2020,10,,,,
CM,2/3/2020,7,,,,
CL,2/3/2020,7,,,,
CT,2/3/2020,15,,,,
CE,2/3/2020,0,,,,
VC,2/3/2020,15,93,3,,
EX,2/3/2020,6,,,,
GA,2/3/2020,0,,,,
MD,2/3/2020,49,,,,
ML,2/3/2020,0,,,,
MC,2/3/2020,0,,,,
NC,2/3/2020,1,,,,
PV,2/3/2020,13,,,,
RI,2/3/2020,3,,,,
AN,3/3/2020,12,,,,
AR,3/3/2020,0,,,,
AS,3/3/2020,2,,,,
IB,3/3/2020,5,,,,
CN,3/3/2020,7,,,,
CB,3/3/2020,10,,,,
CM,3/3/2020,12,,,,
CL,3/3/2020,8,,,,
CT,3/3/2020,15,,,,
CE,3/3/2020,0,,,,
VC,3/3/2020,19,105,5,,
EX,3/3/2020,6,,,,
GA,3/3/2020,1,,,,
MD,3/3/2020,70,,,,
ML,3/3/2020,0,,,,
MC,3/3/2020,0,,,,
NC,3/3/2020,3,,,,
PV,3/3/2020,17,,,,
RI,3/3/2020,7,,,,
AN,4/3/2020,12,,,,
AR,4/3/2020,1,,,,
AS,4/3/2020,5,,,,
IB,4/3/2020,6,,,,
CN,4/3/2020,8,,,,
CB,4/3/2020,10,,,,
CM,4/3/2020,13,,,,
CL,4/3/2020,12,,,,
CT,4/3/2020,24,,,,
CE,4/3/2020,0,,,,
VC,4/3/2020,19,117,6,,
EX,4/3/2020,6,,,,
GA,4/3/2020,1,,,,
MD,4/3/2020,90,,,,
ML,4/3/2020,0,,,,
MC,4/3/2020,0,,,,
NC,4/3/2020,3,,,,
PV,4/3/2020,17,,,,
RI,4/3/2020,11,,,,
AN,5/3/2020,21,,,,
AR,5/3/2020,6,,,,
AS,5/3/2020,5,,,,
IB,5/3/2020,6,,,,
CN,5/3/2020,11,,,,
CB,5/3/2020,10,,,,
CM,5/3/2020,15,,,,
CL,5/3/2020,13,,,,
CT,5/3/2020,24,,,,
CE,5/3/2020,0,,,,
VC,5/3/2020,30,130,8,,
EX,5/3/2020,6,,,,
GA,5/3/2020,3,,,,
MD,5/3/2020,137,,,,
ML,5/3/2020,0,,,,
MC,5/3/2020,0,,,,
NC,5/3/2020,3,,,,
PV,5/3/2020,45,,,,
RI,5/3/2020,29,,,,
AN,6/3/2020,27,,,,
AR,6/3/2020,11,,,,
AS,6/3/2020,5,,,,
IB,6/3/2020,6,,,,
CN,6/3/2020,11,,,,
CB,6/3/2020,10,,,,
CM,6/3/2020,15,,,,
CL,6/3/2020,14,,,,
CT,6/3/2020,24,,,,
CE,6/3/2020,0,,,,
VC,6/3/2020,30,138,8,,
EX,6/3/2020,6,,,,
GA,6/3/2020,3,,,,
MD,6/3/2020,137,,,,
ML,6/3/2020,0,,,,
MC,6/3/2020,0,,,,
NC,6/3/2020,3,,,,
PV,6/3/2020,45,,,,
RI,6/3/2020,39,,,,
AN,7/3/2020,34,,,,
AR,7/3/2020,11,,,,
AS,7/3/2020,7,,,,
IB,7/3/2020,8,,,,
CN,7/3/2020,17,,,,
CB,7/3/2020,12,,,,
CM,7/3/2020,15,,,,
CL,7/3/2020,21,,,,
CT,7/3/2020,49,,,,
CE,7/3/2020,0,,,,
VC,7/3/2020,37,146,9,,
EX,7/3/2020,6,,,,
GA,7/3/2020,5,,,,
MD,7/3/2020,175,,,,
ML,7/3/2020,0,,,,
MC,7/3/2020,1,,,,
NC,7/3/2020,3,,,,
PV,7/3/2020,70,,,,
RI,7/3/2020,55,,,,
AN,8/3/2020,54,,1,0,11
AR,8/3/2020,13,,3,3,
AS,8/3/2020,7,,2,0,
IB,8/3/2020,11,,1,0,2
CN,8/3/2020,22,,0,0,4
CB,8/3/2020,12,,0,0,
CM,8/3/2020,26,,2,0,2
CL,8/3/2020,30,,2,0,
CT,8/3/2020,75,,0,2,
CE,8/3/2020,0,,0,0,
VC,8/3/2020,37,153,9,1,1
EX,8/3/2020,7,,0,0,1
GA,8/3/2020,6,,2,0,
MD,8/3/2020,469,,53,16,
ML,8/3/2020,0,,0,0,
MC,8/3/2020,4,,0,0,
NC,8/3/2020,3,,1,0,
PV,8/3/2020,149,,5,6,2
RI,8/3/2020,81,,1,0,
AN,9/3/2020,71,,1,0,11
AR,9/3/2020,38,,3,4,0
AS,9/3/2020,22,,2,0,1
IB,9/3/2020,13,,1,0,3
CN,9/3/2020,25,,1,0,5
CB,9/3/2020,12,,0,0,
CM,9/3/2020,39,,3,0,2
CL,9/3/2020,40,,2,0,
CT,9/3/2020,124,,0,3,
CE,9/3/2020,,,0,0,
VC,9/3/2020,50,171,10,1,1
EX,9/3/2020,8,,0,0,1
GA,9/3/2020,22,,2,0,
MD,9/3/2020,782,,77,21,109
ML,9/3/2020,,,0,0,
MC,9/3/2020,9,,0,0,
NC,9/3/2020,12,,2,0,
PV,9/3/2020,195,,5,6,2
RI,9/3/2020,144,,1,1,
AN,10/3/2020,90,32,3,0,11
AR,10/3/2020,45,22,3,4,0
AS,10/3/2020,32,12,2,0,1
IB,10/3/2020,16,8,1,0,1
CN,10/3/2020,37,10,1,0,5
CB,10/3/2020,12,0,0,0,0
CM,10/3/2020,71,0,5,0,2
CL,10/3/2020,64,14,2,0,0
CT,10/3/2020,156,0,0,3,0
CE,10/3/2020,0,0,0,0,0
VC,10/3/2020,65,200,12,1,1
EX,10/3/2020,9,2,1,1,1
GA,10/3/2020,35,7,2,0,0
MD,10/3/2020,1024,0,102,31,157
ML,10/3/2020,0,0,0,0,0
MC,10/3/2020,11,4,0,0,0
NC,10/3/2020,46,10,3,0,0
PV,10/3/2020,225,102,15,6,2
RI,10/3/2020,179,13,1,2,1
AN,11/3/2020,115,50,4,0,11
AR,11/3/2020,64,28,3,6,0
AS,11/3/2020,47,12,2,1,1
IB,11/3/2020,22,8,2,1,1
CN,11/3/2020,51,15,3,0,5
CB,11/3/2020,16,3,0,0,6
CM,11/3/2020,115,39,9,1,2
CL,11/3/2020,71,24,2,0,0
CT,11/3/2020,260,0,0,4,0
CE,11/3/2020,0,0,0,0,0
VC,11/3/2020,76,232,15,1,1
EX,11/3/2020,19,2,1,1,3
GA,11/3/2020,35,7,2,0,0
MD,11/3/2020,1388,0,135,56,157
ML,11/3/2020,0,0,0,0,0
MC,11/3/2020,26,5,1,0,0
NC,11/3/2020,73,17,3,0,0
PV,11/3/2020,346,146,18,11,1
RI,11/3/2020,205,21,1,2,1
AN,12/3/2020,219,92,8,0,0
AR,12/3/2020,80,30,3,7,0
AS,12/3/2020,67,16,2,1,1
IB,12/3/2020,28,9,2,1,1
CN,12/3/2020,70,15,3,0,5
CB,12/3/2020,29,3,0,0,7
CM,12/3/2020,194,78,10,5,1
CL,12/3/2020,92,25,4,0,1
CT,12/3/2020,316,0,25,6,0
CE,12/3/2020,0,0,0,0,0
VC,12/3/2020,94,271,22,1,2
EX,12/3/2020,39,3,1,1,3
GA,12/3/2020,85,15,2,0,0
MD,12/3/2020,1990,1304,180,81,157
ML,12/3/2020,2,3,0,0,0
MC,12/3/2020,35,8,2,0,0
NC,12/3/2020,130,28,4,0,0
PV,12/3/2020,417,179,20,14,2
RI,12/3/2020,243,27,2,3,1
AN,13/3/2020,269,92,8,2,0
AR,13/3/2020,121,42,5,7,0
AS,13/3/2020,92,16,2,1,1
IB,13/3/2020,28,9,2,1,1
CN,13/3/2020,90,15,6,1,7
CB,13/3/2020,31,3,0,0,7
CM,13/3/2020,289,78,10,6,5
CL,13/3/2020,169,25,8,1,2
CT,13/3/2020,509,0,33,6,0
CE,13/3/2020,0,0,0,0,0
VC,13/3/2020,130,307,29,4,2
EX,13/3/2020,66,3,1,2,4
GA,13/3/2020,115,32,7,0,3
MD,13/3/2020,2940,1518,180,86,474
ML,13/3/2020,3,3,0,0,0
MC,13/3/2020,47,8,2,0,0
NC,13/3/2020,146,28,4,0,0
PV,13/3/2020,521,179,22,14,5
RI,13/3/2020,278,38,2,3,1
AN,14/3/2020,437,92,8,6,0
AR,14/3/2020,147,59,5,7,0
AS,14/3/2020,137,16,3,1,1
IB,14/3/2020,42,9,2,1,1
CN,14/3/2020,109,15,6,1,7
CB,14/3/2020,51,3,0,0,10
CM,14/3/2020,401,78,10,10,5
CL,14/3/2020,223,45,8,3,3
CT,14/3/2020,715,0,33,8,0
CE,14/3/2020,1,0,0,0,0
VC,14/3/2020,409,339,37,5,2
EX,14/3/2020,95,8,1,2,4
GA,14/3/2020,195,32,8,2,4
MD,14/3/2020,3544,2337,253,213,474
ML,14/3/2020,8,4,0,0,0
MC,14/3/2020,71,13,2,0,0
NC,14/3/2020,183,34,4,0,0
PV,14/3/2020,630,262,29,23,5
